User ID,Property ID,Text Score,Feature Score,Final Match Score
10,11,18.52,0.0,9.26
13,28,18.52,0.0,9.26
25,7,18.52,0.0,9.26
18,27,18.52,0.0,9.26
10,13,18.52,0.0,9.26
13,7,18.52,0.0,9.26
13,10,18.52,0.0,9.26
2,8,18.42,0.0,9.21
15,29,18.18,0.0,9.09
7,7,18.18,0.0,9.09
15,24,18.18,0.0,9.09
15,16,18.18,0.0,9.09
15,27,18.18,0.0,9.09
1,15,17.95,0.0,8.97
19,15,17.86,0.0,8.93
14,22,17.86,0.0,8.93
14,30,17.86,0.0,8.93
17,7,17.86,0.0,8.93
23,10,17.86,0.0,8.93
23,27,17.86,0.0,8.93
17,21,17.86,0.0,8.93
17,15,17.86,0.0,8.93
17,29,17.86,0.0,8.93
20,7,17.24,0.0,8.62
20,11,17.24,0.0,8.62
21,10,17.24,0.0,8.62
21,8,17.24,0.0,8.62
21,9,17.24,0.0,8.62
20,28,17.24,0.0,8.62
8,30,17.24,0.0,8.62
8,27,17.24,0.0,8.62
8,15,17.24,0.0,8.62
21,30,17.24,0.0,8.62
21,1,17.24,0.0,8.62
5,16,17.14,0.0,8.57
5,4,17.14,0.0,8.57
5,30,17.14,0.0,8.57
16,1,16.67,0.0,8.34
9,7,16.67,0.0,8.34
22,11,16.67,0.0,8.34
9,15,16.67,0.0,8.34
9,12,16.67,0.0,8.34
22,7,16.67,0.0,8.34
24,11,16.67,0.0,8.34
24,15,16.67,0.0,8.34
6,28,16.13,0.0,8.06
3,11,16.13,0.0,8.06
6,1,16.13,0.0,8.06
6,21,16.13,0.0,8.06
12,29,16.0,0.0,8.0
12,21,16.0,0.0,8.0
2,11,15.79,0.0,7.89
1,7,15.38,0.0,7.69
1,11,15.38,0.0,7.69
7,10,15.15,0.0,7.58
7,8,15.15,0.0,7.58
13,12,14.81,0.0,7.41
13,27,14.81,0.0,7.41
10,15,14.81,0.0,7.41
10,7,14.81,0.0,7.41
13,11,14.81,0.0,7.41
25,21,14.81,0.0,7.41
25,28,14.81,0.0,7.41
18,15,14.81,0.0,7.41
18,21,14.81,0.0,7.41
18,28,14.81,0.0,7.41
18,25,14.81,0.0,7.41
25,27,14.81,0.0,7.41
25,25,14.81,0.0,7.41
25,12,14.81,0.0,7.41
10,21,14.81,0.0,7.41
10,29,14.81,0.0,7.41
10,20,14.81,0.0,7.41
17,9,14.29,0.0,7.14
23,25,14.29,0.0,7.14
23,11,14.29,0.0,7.14
17,20,14.29,0.0,7.14
17,11,14.29,0.0,7.14
14,15,14.29,0.0,7.14
14,27,14.29,0.0,7.14
14,16,14.29,0.0,7.14
23,28,14.29,0.0,7.14
14,9,14.29,0.0,7.14
14,7,14.29,0.0,7.14
14,24,14.29,0.0,7.14
14,29,14.29,0.0,7.14
19,16,14.29,0.0,7.14
19,27,14.29,0.0,7.14
5,7,14.29,0.0,7.14
19,29,14.29,0.0,7.14
5,15,14.29,0.0,7.14
19,7,14.29,0.0,7.14
4,2,13.89,0.0,6.95
4,9,13.89,0.0,6.95
4,14,13.89,0.0,6.95
4,30,13.89,0.0,6.95
4,23,13.89,0.0,6.95
8,4,13.79,0.0,6.89
21,15,13.79,0.0,6.89
21,21,13.79,0.0,6.89
21,7,13.79,0.0,6.89
8,7,13.79,0.0,6.89
20,27,13.79,0.0,6.89
15,12,13.64,0.0,6.82
15,11,13.64,0.0,6.82
15,15,13.64,0.0,6.82
9,16,13.33,0.0,6.67
24,21,13.33,0.0,6.67
9,27,13.33,0.0,6.67
22,29,13.33,0.0,6.67
24,20,13.33,0.0,6.67
9,29,13.33,0.0,6.67
9,11,13.33,0.0,6.67
16,21,13.33,0.0,6.67
22,27,13.33,0.0,6.67
22,16,13.33,0.0,6.67
22,15,13.33,0.0,6.67
16,12,13.33,0.0,6.67
16,27,13.33,0.0,6.67
16,28,13.33,0.0,6.67
24,29,13.33,0.0,6.67
24,7,13.33,0.0,6.67
2,21,13.16,0.0,6.58
